PuntoYComa;ident;const;int;double;bool;string;[];void;(;);,;class;{;};:;interface;.;if;else;while;for;return;break;Console;Writeline;=;==;&&;<;<=;+;*;%;-;!;this;New;intConstant;doubleConstant;boolConstant;stringConstant;null;$;Program';Program;Decl';Decl;VariableDecl;Variable;ConstDecl;ConstType;Type;Type';FunctionDecl;FunctionDecl';Formals;Formals';ClassDecl;ClassDecl';ClassDecl1';ClassDecl2';Field;InterfaceDecl;InterfaceDecl';Prototype;Prototype';StmtBlock;StmtBlock';StmtBlock1';StmtBlock2';StmtBlock3';Stmt;Stmt';CallStmt;CallStmt';Actuals;Actuals';IfStmt;ElseStmt;WhileStmt;ForStmt;ReturnStmt;BreakStmt;PrintStmt;PrintStmt';Expr;ExprEq;ExprEq';ExprAn;ExprAn';ExprEquals;ExprEquals';ExprRes;ExprRes'
r96;r96;;;;;;;;r96;r96;r96;;r96;r96;;;r96;r96;r96;r96;r96;r96;r96;r96;;;r96;r96;r96;r96;r96;r96;r96;r96;r96;r96;r96;r96;r96;r96;r96;r96;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;95;96;97;98;99;100;103;104
r98;r98;;;;;;;;r98;r98;r98;;r98;r98;;;r98;r98;r98;r98;r98;r98;r98;r98;;;r98;r98;r98;r98;r98;r98;r98;r98;r98;r98;r98;r98;r98;r98;r98;r98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;d145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r101;r101;;;;;;;;r101;r101;r101;;r101;r101;;;r101;r101;r101;r101;r101;r101;r101;r101;;;r101;r101;r101;r101;r101;r101;r101;r101;r101;r101;r101;r101;r101;r101;r101;r101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r102;r102;;;;;;;;r102;r102;r102;;r102;r102;;;r102;r102;r102;r102;r102;r102;r102;r102;;;r102;r102;r102;r102;r102;r102;r102;r102;r102;r102;r102;r102;r102;r102;r102;r102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r103;r103;;;;;;;;r103;r103;r103;;r103;r103;;;r103;r103;r103;r103;r103;r103;r103;r103;;;r103;r103;r103;r103;r103;r103;r103;r103;r103;r103;r103;r103;r103;r103;r103;r103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r104;r104;;;;;;;;r104;r104;r104;;r104;r104;;;r104;r104;r104;r104;r104;r104;r104;r104;;;r104;r104;r104;r104;r104;r104;r104;r104;r104;r104;r104;r104;r104;r104;r104;r104;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r105;r105;;;;;;;;r105;r105;r105;;r105;r105;;;r105;r105;r105;r105;r105;r105;r105;r105;;;r105;r105;r105;r105;r105;r105;r105;r105;r105;r105;r105;r105;r105;r105;r105;r105;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r26;r26;r26;r26;r26;r26;;r26;;;;r26;;;;r26;;;;;;;;;;;;;;;;;;;;;;;;;;;r26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;r31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;d146;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r42;r42;r42;r42;r42;r42;r42;;r42;r42;;;r42;r42;r42;;r42;;r42;r42;r42;r42;r42;r42;r42;;;;;;;;;;r42;r42;r42;r42;r42;r42;r42;r42;r42;r42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;r44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;r46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r99;;;;;;;;;d124;;;;;;;;d123-r99;;;;;;;;;d122;r99;r99;r99;r99;r99;r99;r99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;121;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;r48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r61;r61;;;;;;;;r61;;;;r61;r61;;;;r61;r61;r61;r61;r61;r61;r61;;;;;;;;;;r61;r61;r61;r61;r61;r61;r61;r61;r61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d141;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;147;96;97;98;99;100;103;104
;d148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149;;;;;;;;;;150;95;96;97;98;99;100;103;104
r50;r50;;;;;;;;r50;;;;r50;r50;;;;r50;r50;r50;r50;r50;r50;r50;;;;;;;;;;r50;r50;r50;r50;r50;r50;r50;r50;r50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;151;95;96;97;98;99;100;103;104
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;152;95;96;97;98;99;100;103;104
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;95;96;97;98;99;100;103;104
r73;r73;;;;;;;;r73;;;;r73;r73;;;;r73;r73;r73;r73;r73;r73;r73;;;;;;;;;;r73;r73;r73;r73;r73;r73;r73;r73;r73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d154;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r99;r99;;;;;;;;r99;r99;r99;;r99;r99;;;r99;r99;r99;r99;r99;r99;r99;r99;;d122;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;d155;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d141;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;156;97;98;99;100;103;104
;d141;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;157;98;99;100;103;104
;d141;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;158;99;100;103;104
;d141;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;159;99;100;103;104
;d141;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;100;103;104
;d141;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161;103;104
;d141;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;103;104
r91;r91;;;;;;;;r91;r91;r91;;r91;r91;;;d143;r91;r91;r91;r91;r91;r91;r91;;;r91;r91;r91;r91;r91;r91;r91;r91;r91;r91;r91;r91;r91;r91;r91;r91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r99;r99;;;;;;;;r99;r99;r99;;r99;r99;;;r99;r99;r99;r99;r99;r99;r99;r99;;;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;r99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r92;r92;;;;;;;;r92;r92;r92;;r92;r92;;;d143;r92;r92;r92;r92;r92;r92;r92;;;r92;r92;r92;r92;r92;r92;r92;r92;r92;r92;r92;r92;r92;r92;r92;r92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d163;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;d164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d166;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r77;r77;;;;;;;;r77;r77;r77;;r77;r77;;;;r77;r77;r77;r77;r77;r77;r77;;;d133;;;;;;;r77;r77;r77;r77;r77;r77;r77;r77;r77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;d167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;d168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;r66;d170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;169;;;;;;;;;;;;;;;;;
;;;;;;;;;;d171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;d172;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r72;r72;;;;;;;;r72;;;;r72;r72;;;;r72;r72;r72;r72;r72;r72;r72;;;;;;;;;;r72;r72;r72;r72;r72;r72;r72;r72;r72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;d174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r79;r79;;;;;;;;r79;r79;r79;;r79;r79;;;;r79;r79;r79;r79;r79;r79;r79;;;r79;d134;;;;;;r79;r79;r79;r79;r79;r79;r79;r79;r79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r81;r81;;;;;;;;r81;r81;r81;;r81;r81;;;;r81;r81;r81;r81;r81;r81;r81;;;r81;r81;d135;d136;;;;r81;r81;r81;r81;r81;r81;r81;r81;r81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r83;r83;;;;;;;;r83;r83;r83;;r83;r83;;;;r83;r83;r83;r83;r83;r83;r83;;;r83;r83;r83;r83;d137;;;r83;r83;r83;r83;r83;r83;r83;r83;r83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r84;r84;;;;;;;;r84;r84;r84;;r84;r84;;;;r84;r84;r84;r84;r84;r84;r84;;;r84;r84;r84;r84;d137;;;r84;r84;r84;r84;r84;r84;r84;r84;r84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r86;r86;;;;;;;;r86;r86;r86;;r86;r86;;;;r86;r86;r86;r86;r86;r86;r86;;;r86;r86;r86;r86;r86;d138;d139;r86;r86;r86;r86;r86;r86;r86;r86;r86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r88;r88;;;;;;;;r88;r88;r88;;r88;r88;;;;r88;r88;r88;r88;r88;r88;r88;;;r88;r88;r88;r88;r88;r88;r88;r88;r88;r88;r88;r88;r88;r88;r88;r88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r89;r89;;;;;;;;r89;r89;r89;;r89;r89;;;;r89;r89;r89;r89;r89;r89;r89;;;r89;r89;r89;r89;r89;r89;r89;r89;r89;r89;r89;r89;r89;r89;r89;r89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r95;r95;;;;;;;;r95;r95;r95;;r95;r95;;;r95;r95;r95;r95;r95;r95;r95;r95;;d175;r95;r95;r95;r95;r95;r95;r95;r95;r95;r95;r95;r95;r95;r95;r95;r95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r97;r97;;;;;;;;r97;r97;r97;;r97;r97;;;r97;r97;r97;r97;r97;r97;r97;r97;;;r97;r97;r97;r97;r97;r97;r97;r97;r97;r97;r97;r97;r97;r97;r97;r97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;d176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;r41;;r41;r41;r41;r41;;r41;;;;;;r41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;177;;;;;;;;;;150;95;96;97;98;99;100;103;104
r63;r63;;;;;;;;r63;;;;r63;r63;;;;r63;r63;r63;r63;r63;r63;r63;;;;;;;;;;r63;r63;r63;r63;r63;r63;r63;r63;r63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;r64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;r66;d170;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;178;;;;;;;;;;;;;;;;;
r60;d119;;;;;;;;d105;;;;d62;;;;;d89;;d90;d91;d93;d92;d94;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;179;79;87;;;;80;;81;82;84;83;85;;88;95;96;97;98;99;100;103;104
r60;d119;;;;;;;;d105;;;;d62;;;;;d89;;d90;d91;d93;d92;d94;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;180;79;87;;;;80;;81;82;84;83;85;;88;95;96;97;98;99;100;103;104
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;181;95;96;97;98;99;100;103;104
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182;95;96;97;98;99;100;103;104
;d141;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;;;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;183
r100;r100;;;;;;;;r100;r100;r100;;r100;r100;;;r100;r100;r100;r100;r100;r100;r100;r100;;;r100;r100;r100;r100;r100;r100;r100;r100;r100;r100;r100;r100;r100;r100;r100;r100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;d184;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;r65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r69;r69;;;;;;;;r69;;;;r69;r69;;;;r69;d186-r69;r69;r69;r69;r69;r69;;;;;;;;;;r69;r69;r69;r69;r69;r69;r69;r69;r69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185;;;;;;;;;;;;;;;
r70;r70;;;;;;;;r70;;;;r70;r70;;;;r70;r70;r70;r70;r70;r70;r70;;;;;;;;;;r70;r70;r70;r70;r70;r70;r70;r70;r70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;r76;d189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;188;;;;;;;;;
r94;r94;;;;;;;;r94;r94;r94;;r94;r94;;;r94;r94;r94;r94;r94;r94;r94;r94;;;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;r94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r62;r62;;;;;;;;r62;;;;r62;r62;;;;r62;r62;r62;r62;r62;r62;r62;;;;;;;;;;r62;r62;r62;r62;r62;r62;r62;r62;r62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r67;r67;;;;;;;;r67;;;;r67;r67;;;;r67;r67;r67;r67;r67;r67;r67;;;;;;;;;;r67;r67;r67;r67;r67;r67;r67;r67;r67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r60;d119;;;;;;;;d105;;;;d62;;;;;d89;;d90;d91;d93;d92;d94;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;190;79;87;;;;80;;81;82;84;83;85;;88;95;96;97;98;99;100;103;104
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;191;95;96;97;98;99;100;103;104
;;;;;;;;;;d192;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;d131;;;;;;;;d105;;;;;;;;;;;;;;;;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;95;96;97;98;99;100;103;104
r68;r68;;;;;;;;r68;;;;r68;r68;;;;r68;r68;r68;r68;r68;r68;r68;;;;;;;;;;r68;r68;r68;r68;r68;r68;r68;r68;r68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;d194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
d195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;r76;d189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;196;;;;;;;;;
r60;d119;;;;;;;;d105;;;;d62;;;;;d89;;d90;d91;d93;d92;d94;;;;;;;;;;d101;d102;d106;d107;d108;d109;d110;d111;d112;;;;;;;;;;;;;;;;;;;;;;;;;86;;;;;197;79;87;;;;80;;81;82;84;83;85;;88;95;96;97;98;99;100;103;104
r74;r74;;;;;;;;r74;;;;r74;r74;;;;r74;r74;r74;r74;r74;r74;r74;;;;;;;;;;r74;r74;r74;r74;r74;r74;r74;r74;r74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;r75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
r71;r71;;;;;;;;r71;;;;r71;r71;;;;r71;r71;r71;r71;r71;r71;r71;;;;;;;;;;r71;r71;r71;r71;r71;r71;r71;r71;r71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
